"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","per page"
"products","products"
"px.","px."
"save","save"
"select all","select all"
"unselect all","unselect all"
"whether to show ""All"" option in the ""Show X Per Page"" dropdown","whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"x","x"
